,date,actions
0,2020-07-01,[100]
1,2020-07-02,[100]
2,2020-07-06,[100]
3,2020-07-07,[100]
4,2020-07-08,[100]
5,2020-07-09,[100]
6,2020-07-10,[100]
7,2020-07-13,[100]
8,2020-07-14,[100]
9,2020-07-15,[100]
10,2020-07-16,[100]
11,2020-07-17,[100]
12,2020-07-20,[100]
13,2020-07-21,[100]
14,2020-07-22,[100]
15,2020-07-23,[100]
16,2020-07-24,[100]
17,2020-07-27,[100]
18,2020-07-28,[100]
19,2020-07-29,[100]
20,2020-07-30,[100]
21,2020-07-31,[100]
22,2020-08-03,[100]
23,2020-08-04,[100]
24,2020-08-05,[100]
25,2020-08-06,[100]
26,2020-08-07,[100]
27,2020-08-10,[100]
28,2020-08-11,[100]
29,2020-08-12,[100]
30,2020-08-13,[100]
31,2020-08-14,[100]
32,2020-08-17,[100]
33,2020-08-18,[100]
34,2020-08-19,[100]
35,2020-08-20,[100]
36,2020-08-21,[100]
37,2020-08-24,[100]
38,2020-08-25,[100]
39,2020-08-26,[100]
40,2020-08-27,[100]
41,2020-08-28,[100]
42,2020-08-31,[100]
43,2020-09-01,[100]
44,2020-09-02,[100]
45,2020-09-03,[100]
46,2020-09-04,[100]
47,2020-09-08,[100]
48,2020-09-09,[100]
49,2020-09-10,[100]
50,2020-09-11,[100]
51,2020-09-14,[100]
52,2020-09-15,[100]
53,2020-09-16,[100]
54,2020-09-17,[100]
55,2020-09-18,[100]
56,2020-09-21,[100]
57,2020-09-22,[100]
58,2020-09-23,[100]
59,2020-09-24,[100]
60,2020-09-25,[100]
61,2020-09-28,[100]
62,2020-09-29,[100]
63,2020-09-30,[100]
64,2020-10-01,[100]
65,2020-10-02,[100]
66,2020-10-05,[100]
67,2020-10-06,[100]
68,2020-10-07,[100]
69,2020-10-08,[100]
70,2020-10-09,[100]
71,2020-10-12,[100]
72,2020-10-13,[100]
73,2020-10-14,[100]
74,2020-10-15,[100]
75,2020-10-16,[100]
76,2020-10-19,[100]
77,2020-10-20,[100]
78,2020-10-21,[100]
79,2020-10-22,[100]
80,2020-10-23,[100]
81,2020-10-26,[100]
82,2020-10-27,[100]
83,2020-10-28,[100]
84,2020-10-29,[100]
85,2020-10-30,[100]
86,2020-11-02,[100]
87,2020-11-03,[100]
88,2020-11-04,[100]
89,2020-11-05,[100]
90,2020-11-06,[-13]
91,2020-11-09,[-13]
92,2020-11-10,[-13]
93,2020-11-11,[90]
94,2020-11-12,[-100]
95,2020-11-13,[100]
96,2020-11-16,[-100]
97,2020-11-17,[100]
98,2020-11-18,[-100]
99,2020-11-19,[100]
100,2020-11-20,[-100]
101,2020-11-23,[100]
102,2020-11-24,[-100]
103,2020-11-25,[100]
104,2020-11-27,[-100]
105,2020-11-30,[100]
106,2020-12-01,[-100]
107,2020-12-02,[100]
108,2020-12-03,[-100]
109,2020-12-04,[100]
110,2020-12-07,[-100]
111,2020-12-08,[100]
112,2020-12-09,[-100]
113,2020-12-10,[100]
114,2020-12-11,[-100]
115,2020-12-14,[100]
116,2020-12-15,[-100]
117,2020-12-16,[100]
118,2020-12-17,[-100]
119,2020-12-18,[100]
120,2020-12-21,[-100]
121,2020-12-22,[100]
122,2020-12-23,[-100]
123,2020-12-24,[100]
124,2020-12-28,[-100]
125,2020-12-29,[100]
126,2020-12-30,[-100]
127,2020-12-31,[100]
128,2021-01-04,[-100]
129,2021-01-05,[100]
130,2021-01-06,[-100]
131,2021-01-07,[100]
132,2021-01-08,[-100]
133,2021-01-11,[100]
134,2021-01-12,[-100]
135,2021-01-13,[100]
136,2021-01-14,[-100]
137,2021-01-15,[100]
138,2021-01-19,[-100]
139,2021-01-20,[100]
140,2021-01-21,[-100]
141,2021-01-22,[100]
