,date,actions
0,2010-01-04,[100]
1,2010-01-05,[100]
2,2010-01-06,[100]
3,2010-01-07,[100]
4,2010-01-08,[100]
5,2010-01-11,[100]
6,2010-01-12,[100]
7,2010-01-13,[100]
8,2010-01-14,[100]
9,2010-01-15,[100]
10,2010-01-19,[100]
11,2010-01-20,[100]
12,2010-01-21,[100]
13,2010-01-22,[100]
14,2010-01-25,[100]
15,2010-01-26,[100]
16,2010-01-27,[100]
17,2010-01-28,[100]
18,2010-01-29,[100]
19,2010-02-01,[100]
20,2010-02-02,[100]
21,2010-02-03,[100]
22,2010-02-04,[100]
23,2010-02-05,[100]
24,2010-02-08,[100]
25,2010-02-09,[100]
26,2010-02-10,[100]
27,2010-02-11,[100]
28,2010-02-12,[100]
29,2010-02-16,[100]
30,2010-02-17,[100]
31,2010-02-18,[100]
32,2010-02-19,[100]
33,2010-02-22,[100]
34,2010-02-23,[100]
35,2010-02-24,[100]
36,2010-02-25,[100]
37,2010-02-26,[100]
38,2010-03-01,[100]
39,2010-03-02,[100]
40,2010-03-03,[100]
41,2010-03-04,[100]
42,2010-03-05,[100]
43,2010-03-08,[100]
44,2010-03-09,[100]
45,2010-03-10,[100]
46,2010-03-11,[100]
47,2010-03-12,[100]
48,2010-03-15,[100]
49,2010-03-16,[100]
50,2010-03-17,[100]
51,2010-03-18,[100]
52,2010-03-19,[100]
53,2010-03-22,[100]
54,2010-03-23,[100]
55,2010-03-24,[100]
56,2010-03-25,[100]
57,2010-03-26,[100]
58,2010-03-29,[100]
59,2010-03-30,[100]
60,2010-03-31,[100]
61,2010-04-01,[100]
62,2010-04-05,[100]
63,2010-04-06,[100]
64,2010-04-07,[100]
65,2010-04-08,[100]
66,2010-04-09,[100]
67,2010-04-12,[100]
68,2010-04-13,[100]
69,2010-04-14,[100]
70,2010-04-15,[100]
71,2010-04-16,[100]
72,2010-04-19,[100]
73,2010-04-20,[100]
74,2010-04-21,[100]
75,2010-04-22,[100]
76,2010-04-23,[100]
77,2010-04-26,[100]
78,2010-04-27,[100]
79,2010-04-28,[100]
80,2010-04-29,[100]
81,2010-04-30,[100]
82,2010-05-03,[100]
83,2010-05-04,[100]
84,2010-05-05,[100]
85,2010-05-06,[100]
86,2010-05-07,[100]
87,2010-05-10,[100]
88,2010-05-11,[100]
89,2010-05-12,[100]
90,2010-05-13,[100]
91,2010-05-14,[100]
92,2010-05-17,[100]
93,2010-05-18,[100]
94,2010-05-19,[100]
95,2010-05-20,[100]
96,2010-05-21,[100]
97,2010-05-24,[100]
98,2010-05-25,[100]
99,2010-05-26,[100]
100,2010-05-27,[100]
101,2010-05-28,[100]
102,2010-06-01,[100]
103,2010-06-02,[100]
104,2010-06-03,[100]
105,2010-06-04,[100]
106,2010-06-07,[100]
107,2010-06-08,[100]
108,2010-06-09,[100]
109,2010-06-10,[100]
110,2010-06-11,[100]
111,2010-06-14,[100]
112,2010-06-15,[100]
113,2010-06-16,[100]
114,2010-06-17,[100]
115,2010-06-18,[100]
116,2010-06-21,[100]
117,2010-06-22,[100]
118,2010-06-23,[100]
119,2010-06-24,[100]
