,date,account_value
0,2010-01-04,1000000.0
1,2010-01-05,1000000.4750066281
2,2010-01-06,999979.0599153996
3,2010-01-07,999974.8553892614
4,2010-01-08,999991.262383032
5,2010-01-11,999962.1534399034
6,2010-01-12,999917.8568701745
7,2010-01-13,999979.6648456574
8,2010-01-14,999949.3104949475
9,2010-01-15,999852.7768635274
10,2010-01-19,1000129.4879684926
11,2010-01-20,1000017.9910360813
12,2010-01-21,999883.637120533
13,2010-01-22,999474.5710560322
14,2010-01-25,999700.7145462513
15,2010-01-26,999831.1547847749
16,2010-01-27,999925.027801037
17,2010-01-28,999479.8273088933
18,2010-01-29,999083.0287173749
19,2010-02-01,999236.882801342
20,2010-02-02,999305.0899477482
21,2010-02-03,999519.9478785516
22,2010-02-04,999038.4553701879
23,2010-02-05,999276.636610079
24,2010-02-08,999178.138500643
25,2010-02-09,999335.08856802
26,2010-02-10,999249.7959579469
27,2010-02-11,999541.000965357
28,2010-02-12,999686.1711766721
29,2010-02-16,999952.1786385537
30,2010-02-17,999873.9255601407
31,2010-02-18,999909.1758553507
32,2010-02-19,999785.8056850912
33,2010-02-22,999659.6104190351
34,2010-02-23,999311.2186124803
35,2010-02-24,999694.2089143755
36,2010-02-25,999840.4560597421
37,2010-02-26,1000134.9621986868
38,2010-03-01,1000639.8874548913
39,2010-03-02,1000622.6239521028
40,2010-03-03,1000680.4312091352
41,2010-03-04,1000852.0498808386
42,2010-03-05,1001904.9992758753
43,2010-03-08,1001921.3551344874
44,2010-03-09,1002448.4547874453
45,2010-03-10,1002697.0946746351
46,2010-03-11,1002788.8422053816
47,2010-03-12,1002945.5528317931
48,2010-03-15,1002541.5525878909
49,2010-03-16,1002631.86154089
50,2010-03-17,1002580.9482103827
51,2010-03-18,1002662.5482154848
52,2010-03-19,1002281.9347599031
53,2010-03-22,1002684.6405498983
54,2010-03-23,1003277.4163198472
55,2010-03-24,1003445.8371323587
56,2010-03-25,1002981.4166208268
57,2010-03-26,1003718.2129338265
58,2010-03-29,1003980.6068030834
59,2010-03-30,1004601.3687767982
60,2010-03-31,1004445.4030788422
61,2010-04-01,1004624.8151342869
62,2010-04-05,1005099.7651895046
63,2010-04-06,1005300.4082371711
64,2010-04-07,1005506.2036518573
65,2010-04-08,1005376.853656292
66,2010-04-09,1005745.8254083634
67,2010-04-12,1005847.0803963185
68,2010-04-13,1005875.3079678536
69,2010-04-14,1006559.3905306817
70,2010-04-15,1007246.9660620213
71,2010-04-16,1006917.627692175
72,2010-04-19,1006844.5604487896
73,2010-04-20,1006292.6721215248
74,2010-04-21,1009587.7975219727
75,2010-04-22,1011242.3676338196
76,2010-04-23,1012250.3225803375
77,2010-04-26,1011937.7459506989
78,2010-04-27,1010165.4682077408
79,2010-04-28,1010058.8249197006
80,2010-04-29,1011772.643386364
81,2010-04-30,1009910.0227357864
82,2010-05-03,1011222.3488241672
83,2010-05-04,1009283.4641833781
84,2010-05-05,1008594.7877626418
85,2010-05-06,1006073.5742982863
86,2010-05-07,1003352.5961459635
87,2010-05-10,1008153.7392009257
88,2010-05-11,1008830.7812132357
89,2010-05-12,1010339.147539091
90,2010-05-13,1009316.3593464373
91,2010-05-14,1008057.8547698973
92,2010-05-17,1008169.0972049711
93,2010-05-18,1007641.7295376776
94,2010-05-19,1006490.5509948252
95,2010-05-20,1003429.92948637
96,2010-05-21,1004761.9113502024
97,2010-05-24,1006072.2993508338
