,date,account_value
0,2010-01-04,1000000.0
1,2010-01-05,999971.0931186199
2,2010-01-06,1000022.0716818332
3,2010-01-07,999981.8812088966
4,2010-01-08,1000032.5614323616
5,2010-01-11,1000026.8001277447
6,2010-01-12,999952.3254428387
7,2010-01-13,1000110.5765999318
8,2010-01-14,999770.377794838
9,2010-01-15,999764.5059622289
10,2010-01-19,999799.4932082654
11,2010-01-20,999805.0471132756
12,2010-01-21,999795.7434885026
13,2010-01-22,999739.297881651
14,2010-01-25,999386.5701683045
15,2010-01-26,999561.5830424309
16,2010-01-27,999794.0130867482
17,2010-01-28,1002724.5704682351
18,2010-01-29,1002520.5258233071
19,2010-02-01,1002188.4933491708
20,2010-02-02,1002421.9087540627
21,2010-02-03,1002451.0258692742
22,2010-02-04,1001944.1397782326
23,2010-02-05,1002107.5650592804
24,2010-02-08,1002127.2655269622
25,2010-02-09,1002565.681758976
26,2010-02-10,1002327.0794200897
27,2010-02-11,1003047.4877652169
28,2010-02-12,1002974.5809743882
29,2010-02-16,1003669.6777392388
30,2010-02-17,1003518.753456688
31,2010-02-18,1004221.9731205942
32,2010-02-19,1004472.4601093293
33,2010-02-22,1003820.9373830797
34,2010-02-23,1003373.1440688134
35,2010-02-24,1003542.2286741257
36,2010-02-25,1004014.4444848062
37,2010-02-26,1004246.0768936158
38,2010-03-01,1006226.5637574196
39,2010-03-02,1005824.4271625519
40,2010-03-03,1005006.2954326629
41,2010-03-04,1005274.7612607955
42,2010-03-05,1005057.7887509345
43,2010-03-08,1005689.5387873648
44,2010-03-09,1006480.5589872359
45,2010-03-10,1007340.9823830603
46,2010-03-11,1007280.8242734907
47,2010-03-12,1006467.3780361173
48,2010-03-15,1006205.8055068967
49,2010-03-16,1006925.8137045858
50,2010-03-17,1007131.9475344656
51,2010-03-18,1006854.0757757184
52,2010-03-19,1006786.2143474576
53,2010-03-22,1008632.6332842824
54,2010-03-23,1008685.5932345388
55,2010-03-24,1008220.9741551396
56,2010-03-25,1009155.9456996915
57,2010-03-26,1009773.7555637357
58,2010-03-29,1009441.263509178
59,2010-03-30,1010417.9219519614
60,2010-03-31,1009285.418086624
61,2010-04-01,1010382.3665196417
62,2010-04-05,1014801.01001873
63,2010-04-06,1017841.8648324964
64,2010-04-07,1014512.6770063398
65,2010-04-08,1016461.533047199
66,2010-04-09,1017016.6561996457
67,2010-04-12,1017742.9048231122
68,2010-04-13,1020850.287780666
69,2010-04-14,1022022.054307079
70,2010-04-15,1021280.8063969609
71,2010-04-16,1019737.8502510068
72,2010-04-19,1019212.0618345258
73,2010-04-20,1021578.1276466367
74,2010-04-21,1021481.7387547491
75,2010-04-22,1035698.3640346525
76,2010-04-23,1035132.3547890661
77,2010-04-26,1044414.9296132086
78,2010-04-27,1037616.2421079634
79,2010-04-28,1034590.211115837
80,2010-04-29,1038908.7909535407
81,2010-04-30,1033966.3121525764
82,2010-05-03,1037584.6182286262
